City,Parameter,Status,AIC,MAE,RMSE,MAPE,Model_File
Hassan,wind_power_density_50m,Success,17914.40,78.741,96.481,350.4%,sarima_Hassan_wind_power_density_50m.pkl
Hospet,wind_power_density_50m,Success,19347.59,132.863,186.542,193.6%,sarima_Hospet_wind_power_density_50m.pkl
Hubli,wind_speed_10m,Success,5345.92,1.144,1.476,32.5%,sarima_Hubli_wind_speed_10m.pkl
Hyderabad,wind_power_density_10m,Success,16137.61,41.375,60.023,342.3%,sarima_Hyderabad_wind_power_density_10m.pkl
Hubli,wind_power_density_10m,Success,16235.65,43.108,60.987,302.5%,sarima_Hubli_wind_power_density_10m.pkl
Hubli,wind_speed_2m,Success,4406.93,0.850,1.091,35.2%,sarima_Hubli_wind_speed_2m.pkl
Hubli,wind_power_density_50m,Success,18671.43,100.535,140.364,235.4%,sarima_Hubli_wind_power_density_50m.pkl
Hubli,wind_speed_50m,Success,6121.73,1.510,1.909,31.0%,sarima_Hubli_wind_speed_50m.pkl
Hyderabad,wind_speed_50m,Success,5924.52,1.509,1.927,32.6%,sarima_Hyderabad_wind_speed_50m.pkl
Hyderabad,wind_speed_10m,Success,5190.16,1.161,1.523,35.0%,sarima_Hyderabad_wind_speed_10m.pkl
Hyderabad,wind_power_density_50m,Success,18539.09,97.301,138.174,271.7%,sarima_Hyderabad_wind_power_density_50m.pkl
Hyderabad,wind_speed_2m,Success,4349.24,0.886,1.161,39.3%,sarima_Hyderabad_wind_speed_2m.pkl
Imphal,wind_power_density_50m,Success,9771.57,4.457,7.333,112.1%,sarima_Imphal_wind_power_density_50m.pkl
Imphal,wind_power_density_10m,Success,4762.39,0.903,1.352,96.8%,sarima_Imphal_wind_power_density_10m.pkl
Imphal,wind_speed_10m,Success,1153.78,0.286,0.366,22.2%,sarima_Imphal_wind_speed_10m.pkl
Imphal,wind_speed_2m,Success,-1745.98,0.109,0.139,20.4%,sarima_Imphal_wind_speed_2m.pkl
Imphal,wind_speed_50m,Success,2985.16,0.512,0.675,24.5%,sarima_Imphal_wind_speed_50m.pkl
Jaipur,wind_speed_10m,Success,4417.44,0.920,1.173,34.1%,sarima_Jaipur_wind_speed_10m.pkl
Jaipur,wind_speed_50m,Success,5376.16,1.331,1.647,35.7%,sarima_Jaipur_wind_speed_50m.pkl
Indore,wind_speed_2m,Success,4154.56,0.883,1.129,36.9%,sarima_Indore_wind_speed_2m.pkl
Indore,wind_power_density_50m,Success,17438.56,71.061,99.215,214.7%,sarima_Indore_wind_power_density_50m.pkl
Indore,wind_speed_10m,Success,4904.25,1.083,1.411,30.5%,sarima_Indore_wind_speed_10m.pkl
Indore,wind_power_density_10m,Success,15244.62,31.184,45.612,242.4%,sarima_Indore_wind_power_density_10m.pkl
Jaipur,wind_power_density_10m,Success,13835.87,17.920,28.152,258.1%,sarima_Jaipur_wind_power_density_10m.pkl
Indore,wind_speed_50m,Success,5614.25,1.381,1.735,28.1%,sarima_Indore_wind_speed_50m.pkl
Jaipur,wind_power_density_50m,Success,16518.94,52.436,77.605,275.9%,sarima_Jaipur_wind_power_density_50m.pkl
Jaisalmer,wind_power_density_10m,Success,16820.91,59.815,79.041,413.7%,sarima_Jaisalmer_wind_power_density_10m.pkl
Jaisalmer,wind_speed_2m,Success,5068.07,1.276,1.546,49.2%,sarima_Jaisalmer_wind_speed_2m.pkl
Jaisalmer,wind_speed_50m,Success,6149.33,1.779,2.129,38.3%,sarima_Jaisalmer_wind_speed_50m.pkl
Jaisalmer,wind_power_density_50m,Success,18456.57,112.760,142.932,331.8%,sarima_Jaisalmer_wind_power_density_50m.pkl
Jaipur,wind_speed_2m,Success,3661.83,0.712,0.912,38.6%,sarima_Jaipur_wind_speed_2m.pkl
Jaisalmer,wind_speed_10m,Success,5605.18,1.487,1.819,41.8%,sarima_Jaisalmer_wind_speed_10m.pkl
